date,name,cases_rolling,facebook_mobility_score
2020-01-20,Hunters Hill (A),0.0,
2020-01-20,Inner West (A),0.0,
2020-01-20,Ku-ring-gai (A),0.0,
2020-01-20,Lane Cove (A),0.0,
2020-01-20,Liverpool (C),0.0,
2020-01-20,Mosman (A),0.0,
2020-01-20,North Sydney (A),0.0,
2020-01-20,Northern Beaches (A),0.0,
2020-01-20,Parramatta (C),0.0,
2020-01-20,Penrith (C),0.0,
2020-01-20,Randwick (C),0.0,
2020-01-20,Ryde (C),0.0,
2020-01-20,Strathfield (A),0.0,
2020-01-20,Sydney (C),0.0,
2020-01-20,The Hills Shire (A),0.0,
2020-01-20,Waverley (A),0.0,
2020-01-20,Willoughby (C),0.0,
2020-01-20,Woollahra (A),0.0,
2020-01-20,all,0.0,
2020-01-20,highSE,0.0,
2020-01-20,lowSE,0.0,
2020-01-20,midSE,0.0,
2020-01-21,Bayside (A),0.0,
2020-01-21,Blacktown (C),0.0,
2020-01-21,Burwood (A),0.0,
2020-01-21,Camden (A),0.0,
2020-01-21,Canada Bay (A),0.0,
2020-01-21,Canterbury-Bankstown (A),0.0,
2020-01-21,Central Coast (C) (NSW),0.0,
2020-01-21,Cumberland (A),0.0,
2020-01-21,Fairfield (C),0.0,
2020-01-21,Georges River (A),0.0,
2020-01-21,Hawkesbury (C),0.0,
2020-01-21,Hornsby (A),0.0,
2020-01-21,Hunters Hill (A),0.0,
2020-01-21,Inner West (A),0.0,
2020-01-21,Ku-ring-gai (A),0.0,
2020-01-21,Lane Cove (A),0.0,
2020-01-21,Liverpool (C),0.0,
2020-01-21,Mosman (A),0.0,
2020-01-21,North Sydney (A),0.0,
2020-01-21,Northern Beaches (A),0.0,
2020-01-21,Parramatta (C),0.0,
2020-01-21,Penrith (C),0.0,
2020-01-21,Randwick (C),0.0,
2020-01-21,Ryde (C),0.0,
2020-01-21,Strathfield (A),0.0,
2020-01-21,Sydney (C),0.0,
2020-01-21,The Hills Shire (A),0.0,
2020-01-21,Waverley (A),0.0,
2020-01-21,Willoughby (C),0.0,
2020-01-21,Woollahra (A),0.0,
2020-01-21,all,0.0,
2020-01-21,highSE,0.0,
2020-01-21,lowSE,0.0,
2020-01-21,midSE,0.0,
2020-01-22,Bayside (A),0.0,
2020-01-22,Blacktown (C),0.0,
2020-01-22,Burwood (A),0.0,
2020-01-22,Camden (A),0.0,
2020-01-22,Canada Bay (A),0.0,
2020-01-22,Canterbury-Bankstown (A),0.0,
2020-01-22,Central Coast (C) (NSW),0.0,
2020-01-22,Cumberland (A),0.0,
2020-01-22,Fairfield (C),0.0,
2020-01-22,Georges River (A),0.0,
2020-01-22,Hawkesbury (C),0.0,
2020-01-22,Hornsby (A),0.0,
2020-01-22,Hunters Hill (A),0.0,
2020-01-22,Inner West (A),0.0,
2020-01-22,Ku-ring-gai (A),0.0,
2020-01-22,Lane Cove (A),0.0,
2020-01-22,Liverpool (C),0.0,
2020-01-22,Mosman (A),0.0,
2020-01-22,North Sydney (A),0.0,
2020-01-22,Northern Beaches (A),0.0,
2020-01-22,Parramatta (C),0.0,
2020-01-22,Penrith (C),0.0,
2020-01-22,Randwick (C),0.0,
2020-01-22,Ryde (C),0.0,
2020-01-22,Strathfield (A),0.0,
2020-01-22,Sydney (C),0.0,
2020-01-22,The Hills Shire (A),0.0,
2020-01-22,Waverley (A),0.0,
2020-01-22,Willoughby (C),0.0,
2020-01-22,Woollahra (A),0.0,
2020-01-22,all,0.0,
2020-01-22,highSE,0.0,
2020-01-22,lowSE,0.0,
2020-01-22,midSE,0.0,
2020-01-23,Bayside (A),0.0,
2020-01-23,Blacktown (C),0.0,
2020-01-23,Burwood (A),0.0,
2020-01-23,Camden (A),0.0,
2020-01-23,Canada Bay (A),0.0,
2020-01-23,Canterbury-Bankstown (A),0.0,
2020-01-23,Central Coast (C) (NSW),0.0,
